Date,VOO,SPY
12/22/2015,186.600006,203.5
12/23/2015,188.839996,206.020004
12/24/2015,188.509995,205.679993
12/28/2015,188.100006,205.210007
12/29/2015,190.199997,207.399994
12/30/2015,188.800003,205.929993
12/31/2015,186.929993,203.869995
1/4/2016,184.309998,201.020004
1/5/2016,184.639999,201.360001
1/6/2016,182.300003,198.820007
1/7/2016,177.860001,194.050003
1/8/2016,175.970001,191.919998
1/11/2016,175.990005,192.110001
1/12/2016,177.449997,193.660004
1/13/2016,173.110001,188.830002
1/14/2016,175.919998,191.929993
1/15/2016,172.149994,187.809998
1/19/2016,172.339996,188.059998
1/20/2016,170.320007,185.649994
1/21/2016,171.149994,186.690002
1/22/2016,174.660004,190.520004
1/25/2016,172.070007,187.639999
1/26/2016,174.399994,190.199997
1/27/2016,172.419998,188.130005
1/28/2016,173.360001,189.110001
1/29/2016,177.75,193.720001
2/1/2016,177.589996,193.649994
2/2/2016,174.369995,190.160004
2/3/2016,175.389999,191.300003
2/4/2016,175.610001,191.600006
2/5/2016,172.309998,187.949997
2/8/2016,169.940002,185.419998
2/9/2016,169.990005,185.429993
2/10/2016,169.880005,185.270004
2/11/2016,167.699997,182.860001
2/12/2016,171.139999,186.630005
2/16/2016,174.009995,189.779999
2/17/2016,176.860001,192.880005
2/18/2016,176.110001,192.089996
2/19/2016,176.070007,192
2/22/2016,178.589996,194.779999
2/23/2016,176.350006,192.320007
2/24/2016,177.179993,193.199997
2/25/2016,179.309998,195.539993
2/26/2016,178.979996,195.089996
2/29/2016,177.380005,193.559998
3/1/2016,181.75,198.110001
3/2/2016,182.520004,199
3/3/2016,183.190002,199.779999
3/4/2016,183.779999,200.429993
3/7/2016,183.979996,200.589996
3/8/2016,181.910004,198.399994
3/9/2016,182.910004,199.380005
3/10/2016,183.009995,199.539993
3/11/2016,185.979996,202.759995
3/14/2016,185.699997,202.5
3/15/2016,185.460007,202.169998
3/16/2016,186.570007,203.339996
3/17/2016,187.75,204.630005
3/18/2016,188.449997,204.380005
3/21/2016,187.729996,204.669998
3/22/2016,187.630005,204.559998
3/23/2016,186.429993,203.210007
3/24/2016,186.300003,203.119995
3/28/2016,186.429993,203.240005
3/29/2016,188.220001,205.119995
3/30/2016,189.009995,206.020004
3/31/2016,188.559998,205.520004
4/1/2016,189.770004,206.919998
4/4/2016,189.169998,206.25
4/5/2016,187.25,204.190002
4/6/2016,189.289993,206.419998
4/7/2016,187.059998,203.949997
4/8/2016,187.570007,204.5
4/11/2016,187.080002,204.020004
4/12/2016,188.899994,205.919998
4/13/2016,190.789993,208
4/14/2016,190.770004,208.009995
4/15/2016,190.559998,207.779999
4/18/2016,191.940002,209.240005
4/19/2016,192.520004,209.899994
4/20/2016,192.679993,210.100006
4/21/2016,191.610001,208.970001
4/22/2016,191.660004,208.970001
4/25/2016,191.350006,208.610001
4/26/2016,191.630005,208.919998
4/27/2016,192.029999,209.350006
4/28/2016,190.300003,207.449997
4/29/2016,189.220001,206.330002
5/2/2016,190.729996,207.970001
5/3/2016,189.100006,206.160004
5/4/2016,187.990005,205.009995
5/5/2016,187.970001,204.970001
5/6/2016,188.649994,205.720001
5/9/2016,188.850006,205.889999
5/10/2016,191.190002,208.449997
5/11/2016,189.399994,206.5
5/12/2016,189.509995,206.559998
5/13/2016,187.759995,204.759995
5/16/2016,189.630005,206.779999
5/17/2016,187.960007,204.850006
5/18/2016,187.929993,204.910004
5/19/2016,187.320007,204.199997
5/20/2016,188.490005,205.490005
5/23/2016,188.240005,205.210007
5/24/2016,190.630005,207.869995
5/25/2016,191.929993,209.279999
5/26/2016,192.020004,209.339996
5/27/2016,192.770004,210.240005
5/31/2016,192.539993,209.839996
6/1/2016,192.899994,210.270004
6/2/2016,193.479996,210.910004
6/3/2016,192.919998,210.279999
6/6/2016,193.850006,211.350006
6/7/2016,194.199997,211.679993
6/8/2016,194.839996,212.369995
6/9/2016,194.539993,212.080002
6/10/2016,192.669998,210.070007
6/13/2016,191.220001,208.449997
6/14/2016,190.800003,208.039993
6/15/2016,190.520004,207.75
6/16/2016,191.139999,208.369995
6/17/2016,190.429993,206.520004
6/20/2016,191.649994,207.850006
6/21/2016,191.240005,208.440002
6/22/2016,190.919998,208.100006
6/23/2016,193.389999,210.809998
6/24/2016,186.339996,203.240005
6/27/2016,183.050003,199.600006
6/28/2016,186.429993,203.199997
6/29/2016,189.639999,206.660004
6/30/2016,192.199997,209.479996
7/1/2016,192.600006,209.919998
7/5/2016,191.25,208.410004
7/6/2016,192.380005,209.660004
7/7/2016,192.25,209.529999
7/8/2016,195.169998,212.649994
7/11/2016,195.850006,213.399994
7/12/2016,197.229996,214.949997
7/13/2016,197.160004,214.919998
7/14/2016,198.309998,216.119995
7/15/2016,198.009995,215.830002
7/18/2016,198.580002,216.410004
7/19/2016,198.360001,216.190002
7/20/2016,199.160004,217.089996
7/21/2016,198.410004,216.270004
7/22/2016,199.330002,217.240005
7/25/2016,198.850006,216.649994
7/26/2016,198.839996,216.75
7/27/2016,198.710007,216.520004
7/28/2016,198.929993,216.770004
7/29/2016,199.279999,217.119995
8/1/2016,199.050003,216.940002
8/2/2016,197.809998,215.550003
8/3/2016,198.380005,216.179993
8/4/2016,198.570007,216.410004
8/5/2016,200.169998,218.179993
8/8/2016,200.070007,218.050003
8/9/2016,200.199997,218.179993
8/10/2016,199.690002,217.639999
8/11/2016,200.669998,218.649994
8/12/2016,200.470001,218.460007
8/15/2016,201.050003,219.089996
8/16/2016,200.009995,217.960007
8/17/2016,200.339996,218.369995
8/18/2016,200.820007,218.860001
8/19/2016,200.539993,218.539993
8/22/2016,200.520004,218.529999
8/23/2016,200.889999,218.970001
8/24/2016,199.919998,217.850006
8/25/2016,199.759995,217.699997
8/26/2016,199.380005,217.289993
8/29/2016,200.389999,218.360001
8/30/2016,200.009995,218
8/31/2016,199.520004,217.380005
9/1/2016,199.479996,217.389999
9/2/2016,200.369995,218.369995
9/6/2016,201,219.029999
9/7/2016,200.990005,219.009995
9/8/2016,200.520004,218.509995
9/9/2016,195.679993,213.279999
9/12/2016,198.479996,216.339996
9/13/2016,194.779999,213.229996
9/14/2016,194.660004,213.149994
9/15/2016,196.660004,215.279999
9/16/2016,195.889999,213.369995
9/19/2016,195.949997,213.410004
9/20/2016,195.970001,213.419998
9/21/2016,198.169998,215.820007
9/22/2016,199.360001,217.179993
9/23/2016,198.289993,215.990005
9/26/2016,196.710007,214.240005
9/27/2016,197.910004,215.570007
9/28/2016,198.979996,216.639999
9/29/2016,197.110001,214.679993
9/30/2016,198.690002,216.300003
10/3/2016,198.059998,215.779999
10/4/2016,197.139999,214.679993
10/5/2016,197.960007,215.630005
10/6/2016,198.190002,215.779999
10/7/2016,197.460007,215.039993
10/10/2016,198.369995,216.160004
10/11/2016,195.960007,213.429993
10/12/2016,196.210007,213.710007
10/13/2016,195.580002,213.009995
10/14/2016,195.630005,213.119995
10/17/2016,195.050003,212.380005
10/18/2016,196.199997,213.710007
10/19/2016,196.740005,214.279999
10/20/2016,196.419998,213.880005
10/21/2016,196.470001,213.979996
10/24/2016,197.270004,214.889999
10/25/2016,196.710007,214.169998
10/26/2016,196.270004,213.740005
10/27/2016,195.75,213.169998
10/28/2016,195.130005,212.539993
10/31/2016,195.130005,212.550003
11/1/2016,193.770004,211.009995
11/2/2016,192.490005,209.740005
11/3/2016,191.740005,208.779999
11/4/2016,191.479996,208.550003
11/7/2016,195.679993,213.149994
11/8/2016,196.580002,214.110001
11/9/2016,198.679993,216.380005
11/10/2016,199.139999,216.919998
11/11/2016,198.770004,216.419998
11/14/2016,198.800003,216.589996
11/15/2016,200.410004,218.279999
11/16/2016,200.070007,217.869995
11/17/2016,201.020004,218.990005
11/18/2016,200.660004,218.5
11/21/2016,202.139999,220.149994
11/22/2016,202.509995,220.580002
11/23/2016,202.690002,220.699997
11/25/2016,203.5,221.520004
11/28/2016,202.539993,220.479996
11/29/2016,202.860001,220.910004
11/30/2016,202.399994,220.380005
12/1/2016,201.610001,219.570007
12/2/2016,201.75,219.679993
12/5/2016,202.910004,221
12/6/2016,203.619995,221.699997
12/7/2016,206.199997,224.600006
12/8/2016,206.740005,225.149994
12/9/2016,208,226.509995
12/12/2016,207.770004,226.25
12/13/2016,209.190002,227.759995
12/14/2016,207.460007,225.880005
12/15/2016,208.229996,226.809998
12/16/2016,207.869995,225.039993
12/19/2016,208.339996,225.529999
12/20/2016,209.139999,226.399994
12/21/2016,208.570007,225.770004
12/22/2016,207.009995,225.380005
12/23/2016,207.190002,225.710007
12/27/2016,207.699997,226.270004
12/28/2016,206.059998,224.399994
12/29/2016,206.020004,224.350006
12/30/2016,205.309998,223.529999
1/3/2017,206.740005,225.240005
1/4/2017,207.960007,226.580002
1/5/2017,207.800003,226.399994
1/6/2017,208.610001,227.210007
1/9/2017,207.949997,226.460007
1/10/2017,207.919998,226.460007
1/11/2017,208.509995,227.100006
1/12/2017,208.050003,226.529999
1/13/2017,208.460007,227.050003
1/17/2017,207.720001,226.25
1/18/2017,208.160004,226.75
1/19/2017,207.460007,225.910004
1/20/2017,208.130005,226.740005
1/23/2017,207.649994,226.149994
1/24/2017,208.970001,227.600006
1/25/2017,210.710007,229.570007
1/26/2017,210.550003,229.330002
1/27/2017,210.25,228.970001
1/30/2017,208.979996,227.550003
1/31/2017,208.970001,227.529999
2/1/2017,209,227.619995
2/2/2017,209.089996,227.770004
2/3/2017,210.639999,229.339996
